who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,team-number,manager?,visited?
0,18,226,5.1,1.7,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
1,18,295,3.287384426,2.545236523,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
2,18,173,5.1,1.7,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
3,18,28,6.038943126,3.465895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
4,18,304,3.441924855,2.818385807,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,1,TRUE
5,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
6,18,270,4.1,1.7,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
7,18,187,4.978130657,0.707453848,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
8,18,195,4.841180955,0.734074174,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
9,18,285,4.134074174,1.958819045,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
10,18,176,5.239512947,-0.295128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
11,18,346,4.858078104,2.670295726,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
12,18,220,3.814424781,0.167911114,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
13,18,80,6.084807753,1.873648178,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
14,18,236,4.270962427,1.140807097,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
15,18,346,5.1,1.7,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
16,18,190,4.752703645,-0.269615506,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
17,18,13,5.1,1.7,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
18,18,233,3.50272898,0.496369954,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
19,18,165,5.358819045,0.734074174,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
20,26,314,0.1306602,1.54465837,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
21,26,308,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
22,26,260,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
23,26,149,1.88007615,-0.864334601,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
24,26,303,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
25,26,114,2.677090915,0.036526714,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
26,26,28,1.319471563,1.732947593,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
27,26,160,1.192020143,-0.089692621,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
28,26,39,2.108640782,2.404291923,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
29,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
30,26,320,-0.435575219,2.382088886,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
31,26,206,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
32,26,130,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
33,26,148,1.909838528,-0.846096192,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
34,26,274,-0.14756405,0.919756474,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
35,26,68,2.704367709,1.599213187,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
36,26,137,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
37,26,129,1.627145961,0.220679609,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,1,TRUE
38,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
39,26,254,-0.111261696,0.574362644,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
40,118,238,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
41,118,270,-1,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,1,TRUE
42,118,274,-1.995128101,8.639512947,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
43,118,331,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
44,118,98,0.990268069,8.360826899,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
45,118,122,1.696096192,7.440161472,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
46,118,297,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
47,118,41,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
48,118,115,0.906307787,8.077381738,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
49,118,33,0.544639035,9.338670568,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
50,118,106,0.961261696,8.224362644,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
51,118,203,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
52,118,67,0.920504853,8.890731128,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
53,118,149,1.03007615,6.785665399,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
54,118,1,0.034904813,10.49969539,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
55,118,269,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
56,118,65,0.906307787,8.922618262,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
57,118,213,-0.544639035,7.661329432,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
58,118,49,1.50941916,9.812118058,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
59,118,73,0.956304756,8.792371705,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
60,54,335,-2.545236523,8.612615574,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
61,54,39,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
62,54,339,-2.416735899,8.667160853,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
63,54,139,-1.043940971,6.04529042,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
64,54,287,-2.656304756,7.092371705,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
65,54,165,-1.18236191,4.868148347,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
66,54,138,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
67,54,233,-3.29727102,5.596369954,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
68,54,312,-3.186289651,8.138261213,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
69,54,164,-1.424362644,5.838738304,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,1,TRUE
70,54,201,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
71,54,94,-0.70243595,6.730243526,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
72,54,293,-3.541009707,7.581462257,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
73,54,15,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
74,54,40,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
75,54,89,-0.700152305,6.817452406,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
76,54,291,-2.633580426,7.15836795,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
77,54,52,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
78,54,15,-1.441180955,7.765925826,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
79,54,300,-3.432050808,7.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
80,63,60,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
81,63,266,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
82,63,145,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
83,63,87,-3.251370465,3.452335956,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
84,63,222,-5.588261213,1.913710349,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
85,63,9,-4.093565535,4.387688341,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
86,63,248,-6.104367709,2.650786813,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
87,63,48,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,1,TRUE
88,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
89,63,261,-5.237688341,3.243565535,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
90,63,60,-2.517949192,4.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
91,63,8,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
92,63,13,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
93,63,132,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
94,63,168,-4.042088309,2.421852399,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
95,63,133,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
96,63,118,-3.367052407,2.930528437,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
97,63,29,-3.76519038,4.274619707,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
98,63,254,-4.25,3.4,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
99,63,143,-3.046369954,1.80272898,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
100,19,64,-1.651205954,8.088371147,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
101,19,21,-1.833264101,9.517160853,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
102,19,75,-1.584074174,7.908819045,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
103,19,199,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
104,19,17,-2.257628295,8.606304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
105,19,143,-1.948184977,6.85136449,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
106,19,18,-1.931966011,9.552113033,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
