"BehaviorSpace results (NetLogo 6.3.0)"
"Version-1.nlogo"
"experiment"
"03/27/2023 18:06:07:028 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-13","13","-13","13"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11"
"Rate-of-connection","0",,,,,"0.1",,,,,"0.2",,,,,"0.3",,,,,"0.4",,,,,"0.5",,,,,"0.6",,,,,"0.7",,,,,"0.8",,,,,"0.9",,,,,"1",,,,
"add-people","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"num-teams","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,
"num-people","10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,
"[reporter]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]"
"[final]","102","118","52","118","60","120","104","42","106","78","56","102","98","62","132","62","108","68","108","104","152","80","96","54","68","120","24","64","82","160","50","136","100","102","62","56","96","136","68","94","62","120","140","44","84","32","108","36","132","142","72","44","122","54","158"
"[min]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[max]","102","118","52","118","60","120","104","42","106","78","56","102","98","62","132","62","108","68","108","104","152","80","96","54","68","120","24","64","82","160","50","136","100","102","62","56","96","136","68","94","62","120","140","44","84","32","108","36","132","142","72","44","122","54","158"
"[mean]","55.950248756218905","60.417910447761194","28.756218905472636","67.1542288557214","37.72139303482587","63.53233830845771","61.66169154228856","29.761194029850746","53.65174129353234","41.39303482587065","33.4228855721393","54.74626865671642","54.159203980099505","33.54228855721393","74.12935323383084","34.656716417910445","59.89054726368159","38.26865671641791","60.756218905472636","56.42786069651741","78.1094527363184","49.65174129353234","50.83582089552239","31.383084577114428","40.01990049751244","60.995024875621894","18.427860696517413","35.134328358208954","42.417910447761194","93.02487562189054","32.53731343283582","64.70646766169155","57.830845771144276","52.70646766169154","42.21890547263681","35.114427860696516","57.19402985074627","71.59203980099502","38.34825870646766","47.75124378109453","34.059701492537314","66.3681592039801","72.636815920398","28.925373134328357","48.00995024875622","22.238805970149254","64.93532338308458","20.079601990049753","62.875621890547265","79.87064676616916","39.55223880597015","25.71144278606965","64.8457711442786","28.83582089552239","91.05472636815921"
"[steps]","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"

"[all run data]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]","count turtles with [team-number = 0]","count turtles with [team-number = 1]","count turtles with [team-number = 2]","count turtles with [team-number = 3]","count turtles with [team-number = 4]"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","10","12","10","10","10","10","12","10","10","10","10","10","12","12","10","10","10","10","10","12","10","10","10","10","12","10","10","10","10","12","10","10","10","10","12","10","10","10","10","10","12","10","10","10","10","10","10","12","10","12","10","10","10"
,"10","10","10","14","10","10","10","12","12","10","10","12","10","10","12","12","10","10","12","10","10","12","12","10","10","10","12","10","10","12","12","12","10","10","10","12","12","10","10","10","10","10","12","12","10","10","12","10","10","12","12","12","10","10","10"
,"10","10","10","16","10","10","10","12","14","10","10","12","10","10","14","12","10","12","12","10","10","14","12","10","10","10","12","10","10","14","12","12","10","10","12","12","12","12","10","10","10","12","12","12","10","10","12","10","12","12","12","12","12","10","10"
,"10","12","10","16","10","12","10","12","14","10","10","12","10","10","16","12","10","12","14","10","10","14","12","10","12","10","12","10","10","16","12","12","12","10","12","14","12","12","10","10","10","12","14","12","10","10","14","10","12","12","12","12","14","10","10"
