"BehaviorSpace results (NetLogo 6.3.0)"
"Version-6.nlogo"
"experiment-9-v2"
"05/26/2023 10:49:39:867 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"Rate-of-connection","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"add-people","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"connection-plot?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"Rate-of-interTeam-connection","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"separation-plot?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-teams","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"num-people","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"[reporter]","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation"
"[final]","0.9269784706755754","0.9283791140806731","0.9289878742885425","0.9303835684236575","0.9282355852511754","0.9260529571888146","0.9258500371195248","0.9266864637465974","0.9272457312546399","0.9256471170502351","0.9270279633754022","0.92815144766147","0.9282652808710715","0.9273447166542935","0.9277753031427864","0.9281613462014353","0.9284533531304132","0.9279782232120762","0.9258054936896808","0.9256223707003217","0.9244889878742886","0.9276070279633754","0.9266914130165801","0.9272556297946053","0.928611729769859","0.9267458549863895","0.9282405345211582","0.9308389012620638","0.9285671863400149","0.9257906458797327","0.9264439495174461","0.9287602078693393","0.9282702301410541","0.9254441969809453","0.9269091808958179","0.9256223707003217","0.927443702053947","0.9269141301658006","0.9262311309081911","0.9268596881959911","0.9278841870824054","0.9284780994803267","0.9279534768621628","0.9280079188319723","0.9317644147488245","0.9269933184855234","0.9274536005939124","0.9258005444196981","0.9270131155654541","0.9290621133382826"
"[min]","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582"
